Date,new_cases,new_death_cases,num_of_days
1/15/2021,9283,108,359
1/16/2021,8142,84,360
1/17/2021,6959,67,361
1/18/2021,0,0,362
1/19/2021,7459,56,363
1/20/2021,8658,61,364
1/21/2021,6192,139,365
1/22/2021,8213,125,366
1/23/2021,7534,122,367
1/24/2021,6027,109,368
1/25/2021,4711,25,369
1/26/2021,3982,56,370
1/27/2021,5584,140,371
1/28/2021,6469,131,372
1/29/2021,6103,110,373
1/30/2021,6953,131,374
1/31/2021,5005,46,375
2/1/2021,3775,9,376
2/2/2021,2916,67,377
2/3/2021,12090,169,378
2/4/2021,5435,150,379
2/5/2021,4919,113,380
2/6/2021,4729,84,381
2/7/2021,4775,58,382
2/8/2021,3010,8,383
2/9/2021,2883,55,384
2/10/2021,3833,135,385
2/11/2021,4553,113,386
2/12/2021,4150,83,387
2/13/2021,4097,76,388
2/14/2021,3200,40,389
2/15/2021,2243,10,390
2/16/2021,2206,60,391
2/17/2021,3167,108,392
2/18/2021,3918,96,393
2/19/2021,3224,54,394
2/20/2021,3404,76,395
2/21/2021,2590,30,396
2/22/2021,2118,8,397
2/23/2021,1536,32,398
2/24/2021,3335,108,399
2/25/2021,3346,62,400
2/26/2021,2926,49,401
2/27/2021,2645,27,402
2/28/2021,0,0,403
3/1/2021,3614,43,404
3/2/2021,1249,34,405
3/3/2021,2142,76,406
3/4/2021,2458,37,407
3/5/2021,2136,45,408
3/6/2021,2029,55,409
3/7/2021,0,0,410
3/8/2021,2724,33,411
3/9/2021,1003,17,412
3/10/2021,1879,47,413
3/11/2021,2063,28,414
3/12/2021,2017,39,415
3/13/2021,0,0,416
3/14/2021,0,0,417
3/15/2021,4359,47,418
3/16/2021,1093,14,419
3/17/2021,1996,35,420
3/18/2021,1931,26,421
3/19/2021,1995,21,422
3/20/2021,1977,16,423
3/21/2021,356,1,424
3/22/2021,2547,16,425
3/23/2021,1052,17,426
3/24/2021,1988,40,427
3/25/2021,2223,92,428
3/26/2021,2132,41,429
3/27/2021,0,0,430
3/28/2021,0,0,431
3/29/2021,5321,58,432
3/30/2021,1376,2,433
3/31/2021,1929,25,434
4/1/2021,2025,21,435
4/2/2021,0,0,436
4/3/2021,0,0,437
4/4/2021,0,0,438
4/5/2021,6407,37,439
4/6/2021,884,15,440
4/7/2021,1392,23,441
4/8/2021,2039,13,442
4/9/2021,2520,21,443
4/10/2021,0,0,444
4/11/2021,0,0,445
4/12/2021,5597,42,446
4/13/2021,1422,15,447
4/14/2021,2360,20,448
4/15/2021,2430,34,449
4/16/2021,2479,28,450
4/17/2021,0,0,451
4/18/2021,0,0,452
4/19/2021,5672,31,453
4/20/2021,1201,19,454
4/21/2021,1963,43,455
4/22/2021,2234,25,456
4/23/2021,2168,18,457
4/24/2021,0,0,458
4/25/2021,0,0,459
4/26/2021,5689,37,460
4/27/2021,1150,23,461
4/28/2021,1765,36,462
4/29/2021,1983,12,463
4/30/2021,2233,20,464
5/1/2021,0,0,465
5/2/2021,0,0,466
5/3/2021,4567,40,467
5/4/2021,981,9,468
5/5/2021,1469,21,469
5/6/2021,1798,17,470
5/7/2021,1904,42,471
5/8/2021,0,0,472
5/9/2021,0,0,473
5/10/2021,3780,10,474
5/11/2021,699,11,475
5/12/2021,1491,29,476
5/13/2021,1389,23,477
5/14/2021,1509,9,478
5/15/2021,0,0,479
5/16/2021,0,0,480
5/17/2021,2617,29,481
5/18/2021,623,20,482
5/19/2021,969,27,483
5/20/2021,1186,12,484
5/21/2021,1021,8,485
5/22/2021,0,0,486
5/23/2021,0,0,487
5/24/2021,2422,29,488
5/25/2021,524,17,489
5/26/2021,0,0,490
5/27/2021,1699,51,491
5/28/2021,743,0,492
5/29/2021,0,0,493
5/30/2021,0,0,494
5/31/2021,0,0,495
6/1/2021,2101,46,496
6/2/2021,265,9,497
6/3/2021,481,20,498
6/4/2021,680,21,499
6/5/2021,0,0,500
6/6/2021,0,0,501
6/7/2021,1297,48,502
6/8/2021,299,13,503
6/9/2021,544,18,504
6/10/2021,464,16,505
6/11/2021,425,19,506
6/12/2021,0,0,507
6/13/2021,0,0,508
6/14/2021,1228,27,509
6/15/2021,271,4,510
6/16/2021,333,18,511
6/17/2021,363,6,512
6/18/2021,220,20,513
6/19/2021,0,0,514
6/20/2021,0,0,515
6/21/2021,776,28,516
6/22/2021,0,0,517
6/23/2021,671,25,518
6/24/2021,394,15,519
6/25/2021,386,7,520
6/26/2021,0,0,521
6/27/2021,0,0,522
6/28/2021,867,5,523
6/29/2021,274,4,524
6/30/2021,208,13,525
7/1/2021,296,3,526
7/2/2021,374,0,527
7/3/2021,0,0,528
7/4/2021,0,0,529
7/5/2021,0,0,530
7/6/2021,1488,21,531
7/7/2021,415,5,532
7/8/2021,628,15,533
7/9/2021,543,8,534
7/10/2021,0,0,535
7/11/2021,0,0,536
7/12/2021,1860,25,537
7/13/2021,545,5,538
7/14/2021,995,9,539
7/15/2021,1020,7,540
7/16/2021,1023,4,541
7/17/2021,0,0,542
7/18/2021,0,0,543
7/19/2021,2950,12,544
7/20/2021,871,6,545
7/21/2021,1432,9,546
7/22/2021,1802,12,547
7/23/2021,1998,8,548
7/24/2021,0,0,549
7/25/2021,0,0,550
7/26/2021,5444,10,551
7/27/2021,1603,10,552
7/28/2021,2633,16,553
7/29/2021,3268,12,554
7/30/2021,3198,17,555
7/31/2021,0,0,556
8/1/2021,0,0,557
8/2/2021,8951,53,558
8/3/2021,5274,12,559
8/4/2021,0,0,560
8/5/2021,4296,24,561
8/6/2021,4538,12,562
8/7/2021,0,0,563
8/8/2021,0,0,564
8/9/2021,15686,23,565
8/10/2021,3103,9,566
8/11/2021,4963,22,567
8/12/2021,5889,16,568
8/13/2021,6531,20,569
8/14/2021,0,0,570
8/15/2021,0,0,571
8/16/2021,15096,54,572
